,score_id,modular,original,delta
0,people,47.39,20.84,2655
1,opportunity_employment,43.91,20.64,2327
2,opportunity_k12_education,57.28,32.58,2470
3,opportunity_technical_vocational_college,0.0,0.0,0
4,opportunity_higher_education,0.0,0.0,0
5,opportunity,50.6,26.61,2399
6,core_services_doctors,49.21,20.66,2855
7,core_services_dentists,63.3,36.58,2672
8,core_services_hospitals,54.55,24.64,2991
9,core_services_pharmacies,39.92,21.53,1839
10,core_services_grocery,63.07,30.06,3301
11,core_services_social_services,59.4,31.76,2764
12,core_services,55.75,27.15,2860
13,retail,55.98,32.97,2301
14,recreation_parks,75.1,57.57,1752
15,recreation_trails,73.98,38.31,3567
16,recreation_community_centers,47.89,20.47,2742
17,recreation,67.91,41.55,2636
18,transit,49.24,18.35,3089
19,overall_score,54.35,27.81,2654
