,score_id,modular,original,delta
0,people,24.78,24.78,0
1,opportunity_employment,42.86,42.86,0
2,opportunity_k12_education,46.77,46.77,0
3,opportunity_technical_vocational_college,0.0,0.0,0
4,opportunity_higher_education,0.0,0.0,0
5,opportunity,44.82,44.82,0
6,core_services_doctors,0.0,0.0,0
7,core_services_dentists,0.0,0.0,0
8,core_services_hospitals,0.0,0.0,0
9,core_services_pharmacies,0.0,0.0,0
10,core_services_grocery,0.0,0.0,0
11,core_services_social_services,0.0,0.0,0
13,retail,91.42,91.42,0
14,recreation_parks,76.82,76.82,0
15,recreation_trails,0.0,0.0,0
16,recreation_community_centers,55.13,55.13,0
17,recreation,68.48,68.48,0
18,transit,56.76,56.76,0
19,overall_score,56.48,56.48,0
