,score_id,modular,original,delta
0,people,19.8,19.8,0
1,opportunity_employment,0.0,0.0,0
2,opportunity_k12_education,41.58,41.58,0
3,opportunity_technical_vocational_college,21.8,21.8,0
4,opportunity_higher_education,26.19,26.19,0
5,opportunity,33.8,33.8,0
6,core_services_doctors,20.04,20.04,0
7,core_services_dentists,21.15,21.15,0
8,core_services_hospitals,29.3,29.3,0
9,core_services_pharmacies,28.2,28.2,0
10,core_services_grocery,33.1,33.1,0
11,core_services_social_services,33.31,33.31,0
12,core_services,28.07,28.07,0
13,retail,20.41,20.41,0
14,recreation_parks,46.63,46.63,0
15,recreation_trails,32.63,32.63,0
16,recreation_community_centers,22.8,22.8,0
17,recreation,35.77,35.77,0
18,transit,28.74,28.74,0
19,overall_score,28.08,28.08,0
