,score_id,modular,original,delta
0,people,47.39,47.39,0
1,opportunity_employment,43.91,43.91,0
2,opportunity_k12_education,57.28,57.28,0
3,opportunity_technical_vocational_college,0.0,0.0,0
4,opportunity_higher_education,0.0,0.0,0
5,opportunity,50.6,50.6,0
6,core_services_doctors,49.21,49.21,0
7,core_services_dentists,63.3,63.3,0
8,core_services_hospitals,54.55,54.55,0
9,core_services_pharmacies,39.92,39.92,0
10,core_services_grocery,63.07,63.07,0
11,core_services_social_services,59.4,59.4,0
12,core_services,55.75,55.75,0
13,retail,55.98,55.98,0
14,recreation_parks,75.1,75.1,0
15,recreation_trails,73.98,73.98,0
16,recreation_community_centers,47.89,47.89,0
17,recreation,67.91,67.91,0
18,transit,49.24,49.24,0
19,overall_score,54.35,54.35,0
