,score_id,modular,original,delta
0,people,56.73,56.73,0
1,opportunity_employment,54.43,54.43,0
2,opportunity_k12_education,55.97,55.97,0
3,opportunity_technical_vocational_college,0.0,0.0,0
4,opportunity_higher_education,65.5,65.5,0
5,opportunity,57.49,57.49,0
6,core_services_doctors,34.66,34.66,0
7,core_services_dentists,0.0,0.0,0
8,core_services_hospitals,53.79,53.79,0
9,core_services_pharmacies,52.07,52.07,0
10,core_services_grocery,61.53,61.53,0
11,core_services_social_services,0.0,0.0,0
12,core_services,51.04,51.04,0
13,retail,41.29,41.29,0
14,recreation_parks,70.43,70.43,0
15,recreation_trails,60.24,60.24,0
16,recreation_community_centers,57.25,57.25,0
17,recreation,63.57,63.57,0
18,transit,51.48,51.48,0
19,overall_score,53.67,53.67,0
